Date,Open,High,Low,Close,Adj Close,Volume
2020/9/14,21.5,22.33,21.32,22.190001,21.929649,165600
2020/9/15,22.440001,22.65,21.1,21.17,20.921616,79400
2020/9/16,21.18,21.620001,21.059999,21.35,21.099506,92300
2020/9/17,21.120001,21.200001,20.889999,21.02,20.773376,67200
2020/9/18,21.200001,21.59,20.99,21.459999,21.208214,179000
2020/9/21,21.049999,21.049999,20.370001,20.879999,20.635019,130500
2020/9/22,21.02,21.02,20.219999,20.379999,20.140884,53400
2020/9/23,20.24,20.92,20.24,20.809999,20.56584,92200
2020/9/24,20.860001,21.309999,20.709999,21.049999,20.803026,73700
2020/9/25,20.860001,21.530001,20.860001,21.309999,21.059975,81800
2020/9/28,21.559999,22.23,21.530001,21.99,21.731997,87000
2020/9/29,22.08,22.110001,21.74,21.82,21.563993,57900
2020/9/30,21.719999,22.4,21.690001,22.309999,22.048243,69700
2020/10/1,22.290001,22.549999,21.959999,22.51,22.245893,73400
2020/10/2,22.299999,23.549999,22.26,23.5,23.224279,102500
2020/10/5,23.57,24.43,23.57,24.360001,24.07419,142500
2020/10/6,24.370001,24.48,23.48,23.58,23.303341,116800
2020/10/7,23.77,24.27,23.52,23.57,23.293457,92200
2020/10/8,23.75,23.98,23.700001,23.790001,23.51088,84900
2020/10/9,23.85,24.370001,23.719999,24,23.718412,67100
2020/10/12,23.99,24.34,23.790001,24.15,23.866653,49000
2020/10/13,23.91,24.049999,23.59,23.84,23.560289,66800
2020/10/14,23.76,24.02,23.360001,23.49,23.214397,103500
2020/10/15,23.209999,24,22.98,23.85,23.570173,110900
2020/10/16,23.709999,24.309999,23.57,24.049999,23.767828,77600
2020/10/19,24.15,24.17,23.610001,23.75,23.471346,62400
2020/10/20,23.940001,24.08,23.639999,23.77,23.491114,58300
2020/10/21,23.879999,24.059999,23.76,24.030001,23.748062,34500
2020/10/22,24.139999,24.65,23.950001,24.5,24.212547,46500
2020/10/23,24.559999,25.219999,24.559999,24.75,24.459614,59500
2020/10/26,24.49,24.49,23.709999,24.040001,23.757946,48400
2020/10/27,24.049999,24.379999,23.75,24.26,23.975365,88800
2020/10/28,24.07,26.18,23.6,25.5,25.200815,304500
2020/10/29,25.780001,26.23,25.07,25.700001,25.398468,123000
2020/10/30,25.76,26.129999,25.450001,25.809999,25.507177,121300
2020/11/2,26.139999,26.459999,25.950001,26.27,25.961782,87600
2020/11/3,26.51,27.93,26.5,27.74,27.414534,108900
2020/11/4,27.33,27.84,27.07,27.35,27.02911,69400
2020/11/5,27.48,28.26,27.42,27.780001,27.454063,47100
2020/11/6,27.889999,27.889999,26.969999,27.049999,26.829206,60400
2020/11/9,27.530001,28.610001,26.780001,26.790001,26.571329,128800
2020/11/10,27.129999,27.620001,26.51,27.139999,26.91847,60300
2020/11/11,27.110001,27.549999,26.690001,27.07,26.849041,49200
2020/11/12,26.99,27.379999,26.52,27.18,26.958145,68800
2020/11/13,27.360001,28.1,27.219999,27.879999,27.65243,60800
2020/11/16,28.530001,29.719999,28.25,29.219999,28.981493,134300
2020/11/17,29.299999,29.790001,28.73,28.92,28.683943,57200
2020/11/18,28.93,29.280001,28.610001,28.610001,28.376472,52200
2020/11/19,28.58,28.99,28.33,28.719999,28.485575,46300
2020/11/20,28.68,29,28.120001,28.889999,28.654186,63000
2020/11/23,29.24,29.389999,28.82,28.9,28.664104,58500
2020/11/24,29.15,29.5,28.950001,29.23,28.991411,112600
2020/11/25,29.1,29.27,28.540001,28.809999,28.574841,70000
2020/11/27,28.74,28.780001,28,28.459999,28.227695,28800
2020/11/30,28.389999,28.389999,27.15,27.209999,26.9879,108500
2020/12/1,27.35,28.76,27.309999,27.870001,27.642513,96000
2020/12/2,27.700001,27.860001,27.209999,27.690001,27.463984,55600
2020/12/3,27.74,28.17,27.6,27.73,27.503654,42700
2020/12/4,27.91,28.700001,27.879999,28.65,28.416145,43900
2020/12/7,28.639999,28.799999,28.290001,28.540001,28.307045,58300
2020/12/8,28.32,29.379999,28.23,29.26,29.021166,114400
2020/12/9,29.48,30.610001,29.379999,29.85,29.606354,177100
2020/12/10,31.99,31.99,29.9,30.719999,30.46925,262000
2020/12/11,30.610001,30.700001,29.639999,29.709999,29.467493,107400
2020/12/14,30.15,30.27,29.110001,29.450001,29.209618,100400
2020/12/15,29.77,29.77,29.370001,29.5,29.259209,83000
2020/12/16,29.51,29.540001,28.780001,29.049999,28.81288,91200
2020/12/17,29.01,29.780001,28.780001,29.75,29.507168,135100
2020/12/18,29.809999,30.559999,29.34,30,29.755127,232800
2020/12/21,29.799999,30.42,29.299999,30.200001,29.953495,92500
2020/12/22,30.33,30.610001,29.99,30.51,30.260963,71200
2020/12/23,30.549999,31.110001,30.379999,30.49,30.241127,81300
2020/12/24,30.709999,30.950001,30.280001,30.84,30.58827,29900
2020/12/28,31,31.59,30.99,31.4,31.143698,86500
2020/12/29,31.299999,31.75,30.42,30.76,30.508923,80400
2020/12/30,31.059999,31.67,30.889999,30.940001,30.687454,46500
2020/12/31,31,31.540001,30.91,31.32,31.06435,53200
2021/1/4,31.52,31.620001,30.709999,30.969999,30.717209,77900
2021/1/5,31,32.02,31,31.809999,31.550352,94900
2021/1/6,32.049999,34,32.049999,33.43,33.157131,157100
2021/1/7,34,34.43,33.66,33.98,33.702641,117700
2021/1/8,34.110001,34.18,33.25,33.630001,33.355499,92400
2021/1/11,33.25,33.91,33,33.119999,32.849655,78600
2021/1/12,33.369999,33.720001,33,33.240002,32.968681,82100
2021/1/13,33.130001,33.41,32.830002,33.349998,33.077782,76100
2021/1/14,33.619999,34.07,33.450001,33.939999,33.662964,90700
2021/1/15,33.689999,34.099998,33.169998,33.619999,33.345577,60100
2021/1/19,33.98,34.57,33.790001,34.02,33.742313,76900
2021/1/20,33.950001,34.639999,33.950001,34.41,34.129131,101600
2021/1/21,34.459999,35.02,34.400002,34.57,34.287827,95100
2021/1/22,34.259998,34.82,33.57,34.810001,34.525871,80700
2021/1/25,34.689999,35.41,34.349998,35.360001,35.071377,136800
2021/1/26,35.419998,36.119999,35.240002,35.98,35.686314,100900
2021/1/27,35.509998,35.630001,34.130001,34.73,34.446518,124600
2021/1/28,34.869999,34.869999,33.630001,33.669998,33.395168,118600
2021/1/29,33.59,34.23,32.990002,33.119999,32.849655,94000
2021/2/1,33.41,33.619999,33.110001,33.279999,33.008354,56100
2021/2/2,33.66,34.130001,33.380001,34.119999,33.841496,54700
2021/2/3,34.130001,34.349998,33.720001,33.98,33.702641,85300
2021/2/4,34.080002,35.240002,34.02,35,34.714314,59400
2021/2/5,35.259998,35.27,34.740002,35.110001,34.923199,49400
2021/2/8,35.330002,35.75,35.189999,35.75,35.559792,57100
2021/2/9,35.66,35.98,35.5,35.830002,35.63937,74500
2021/2/10,36,36.200001,35.439999,36.060001,35.868145,117500
2021/2/11,36.189999,36.810001,36.049999,36.57,36.375427,160300
2021/2/12,36.560001,36.700001,36.02,36.580002,36.385376,115100
2021/2/16,36.849998,36.849998,35.09,35.299999,35.112186,106200
2021/2/17,34.709999,34.810001,33.689999,34.790001,34.6049,90100
2021/2/18,34.630001,35.23,32.740002,34.34,34.157291,331300
2021/2/19,34.709999,34.919998,34.209999,34.459999,34.276657,96100
2021/2/22,34.130001,35.240002,34.130001,34.700001,34.515381,120400
2021/2/23,34.34,34.830002,33.740002,33.799999,33.620167,147800
2021/2/24,33.799999,34.119999,33.529999,33.860001,33.679848,104600
2021/2/25,33.849998,33.990002,33.130001,33.27,33.092987,80200
2021/2/26,33.049999,33.509998,32.709999,32.959999,32.784634,151300
2021/3/1,33.549999,34.18,33.549999,34.169998,33.988197,77800
2021/3/2,34.110001,34.41,33.369999,33.650002,33.470966,80300
2021/3/3,33.990002,34.25,33.450001,33.880001,33.699741,71700
2021/3/4,33.650002,33.959999,33.060001,33.23,33.0532,107000
2021/3/5,33.580002,34.119999,32.779999,34.060001,33.878784,114900
2021/3/8,34.950001,36.34,34.529999,36.060001,35.868145,129400
2021/3/9,36.330002,36.330002,35.689999,35.790001,35.599583,114400
2021/3/10,35.900002,36.84,35.869999,36.790001,36.594261,102200
2021/3/11,36.720001,36.939999,36.349998,36.52,36.325695,120900
2021/3/12,36.75,36.860001,36.080002,36.139999,35.947716,117500
2021/3/15,36,36.48,35.200001,36.48,36.285908,114200
2021/3/16,36.419998,36.5,35.549999,36.049999,35.858196,72200
2021/3/17,36.23,36.52,35.580002,36.27,36.077026,66000
2021/3/18,36.119999,36.959999,36.119999,36.810001,36.614155,91100
2021/3/19,36.82,38.220001,36.73,36.82,36.6241,391600
2021/3/22,36.950001,37.130001,36.099998,36.549999,36.355537,113000
2021/3/23,36.240002,36.52,35.27,35.380001,35.191761,111400
2021/3/24,35.790001,36.16,34.549999,34.650002,34.465649,119000
2021/3/25,34.389999,35.060001,33.709999,34.939999,34.754101,75700
2021/3/26,35.119999,35.290001,34.669998,35.240002,35.052505,54100
2021/3/29,34.959999,35.57,34.91,35.099998,34.913246,83300
2021/3/30,35.189999,35.68,34.950001,35.110001,34.923199,87100
2021/3/31,35.349998,36.48,34.98,35.189999,35.002769,221800
2021/4/1,35.27,36.34,35.099998,36.139999,35.947716,111400
2021/4/5,36.580002,36.849998,36.200001,36.529999,36.33564,114000
2021/4/6,36.650002,36.93,36.349998,36.66,36.464951,66100
2021/4/7,36.549999,36.68,35.57,35.759998,35.569736,83300
2021/4/8,35.75,35.790001,34.91,35.32,35.13208,116200
2021/4/9,35.380001,35.419998,35.09,35.220001,35.032616,52600
2021/4/12,35.130001,35.34,34.869999,35.23,35.042561,43200
2021/4/13,35.119999,35.610001,34.959999,35.279999,35.092293,53900
2021/4/14,35.25,36.389999,35.130001,36.099998,35.907928,84500
2021/4/15,36.290001,36.290001,35.25,35.5,35.311123,33800
2021/4/16,35.77,35.91,35.25,35.830002,35.63937,52100
2021/4/19,35.700001,36.119999,35.299999,35.84,35.649315,75500
2021/4/20,36.009998,36.139999,35.23,35.990002,35.798519,104600
2021/4/21,36.080002,36.639999,35.830002,36.029999,35.838303,55000
2021/4/22,36.900002,38.209999,36.380001,37.689999,37.489468,184800
2021/4/23,38.34,38.990002,37.77,37.919998,37.718246,107400
2021/4/26,38.279999,38.279999,37.549999,37.77,37.569046,172200
2021/4/27,37.93,38.18,37.630001,37.73,37.529259,85500
2021/4/28,37.790001,38.299999,37.310001,38.23,38.026596,63700
2021/4/29,38.34,38.34,37.59,37.810001,37.608833,53000
2021/4/30,37.630001,37.630001,36.880001,37.18,36.982185,76900
2021/5/3,37.220001,37.880001,37.220001,37.73,37.529259,51300
2021/5/4,37.630001,37.959999,37.349998,37.630001,37.42979,87900
2021/5/5,38.560001,39.330002,38.389999,38.619999,38.414524,86800
2021/5/6,38.619999,38.75,38.09,38.529999,38.325001,56200
2021/5/7,38.5,39.209999,38.439999,38.639999,38.534428,41800
2021/5/10,38.5,38.619999,37.869999,37.869999,37.766529,74500
2021/5/11,37.75,37.75,36.84,37.150002,37.0485,65700
2021/5/12,37.139999,37.369999,36.549999,36.580002,36.480057,58400
2021/5/13,36.5,37.209999,36.5,37.119999,37.018578,31000
2021/5/14,37.77,38.130001,37.290001,38.049999,37.946037,85700
2021/5/17,37.919998,38.41,37.630001,37.93,37.826366,48700
2021/5/18,37.889999,38.290001,37.41,37.439999,37.337704,104100
2021/5/19,37.169998,37.459999,36.709999,37.439999,37.337704,69900
2021/5/20,37.57,38.209999,37.380001,37.950001,37.846313,62400
2021/5/21,38.139999,38.43,38.029999,38.25,38.145493,55300
2021/5/24,38.34,38.610001,38.18,38.25,38.145493,56400
2021/5/25,38.23,38.419998,37.220001,37.23,37.128281,68800
2021/5/26,37.23,37.700001,37.099998,37.490002,37.387569,60200
2021/5/27,37.970001,38.59,37.93,38.259998,38.155464,125700
2021/5/28,38.48,38.48,37.900002,38.360001,38.255192,44000
2021/6/1,38.599998,39.130001,38.389999,38.779999,38.674042,65500
2021/6/2,39,39,38.02,38.080002,37.97596,47600
2021/6/3,37.880001,37.880001,37.360001,37.75,37.646858,69700
2021/6/4,37.779999,38.240002,37.48,38.040001,37.936066,71300
2021/6/7,38.040001,38.66,38.009998,38.470001,38.364891,52000
2021/6/8,38.59,39.02,38.43,38.720001,38.614208,58900
2021/6/9,39.580002,39.650002,38.580002,38.720001,38.614208,134900
2021/6/10,38.540001,38.57,37.82,37.82,37.716667,84600
2021/6/11,37.810001,38.790001,37.77,38.240002,38.135521,117600
2021/6/14,38.27,38.689999,37.700001,37.740002,37.636887,65600
2021/6/15,37.970001,38.549999,37.740002,38.209999,38.105602,61700
2021/6/16,37.959999,38.450001,37.959999,38.119999,38.015846,90600
2021/6/17,38.099998,38.41,37.540001,37.68,37.577049,68300
2021/6/18,37.23,37.25,36.77,37,36.898907,139600
2021/6/21,37.34,37.48,36.91,37.400002,37.297817,77200
2021/6/22,37.25,37.57,36.830002,36.889999,36.789207,110000
2021/6/23,37.009998,37.009998,36.369999,36.48,36.380329,129000
2021/6/24,36.619999,37.41,36.419998,37.310001,37.208061,57400
2021/6/25,37.150002,37.619999,36.799999,36.799999,36.699455,345800
2021/6/28,36.669998,36.91,36.049999,36.869999,36.76926,114700
2021/6/29,36.84,37.240002,36.709999,36.779999,36.679508,96500
2021/6/30,36.599998,37.369999,36.529999,36.970001,36.868992,79700
2021/7/1,37.07,37.27,36.5,36.57,36.470081,133400
2021/7/2,36.799999,36.799999,36.25,36.619999,36.519943,65300
2021/7/6,36.75,36.75,35.639999,35.779999,35.68224,53700
2021/7/7,35.700001,35.830002,35.189999,35.299999,35.203552,85700
2021/7/8,34.66,35.220001,34.169998,34.610001,34.515438,76200
2021/7/9,34.950001,35.130001,34.700001,34.830002,34.73484,43200
2021/7/12,34.720001,35.939999,34.630001,35.75,35.652325,114500
2021/7/13,35.43,35.720001,35.049999,35.330002,35.233471,48600
2021/7/14,35.560001,35.560001,35.07,35.18,35.083881,104900
2021/7/15,34.900002,35.599998,34.799999,35.240002,35.143719,82900
2021/7/16,35.529999,35.689999,34.98,34.98,34.884426,41000
2021/7/19,34.509998,35.139999,34.099998,35.080002,34.984154,109400
2021/7/20,35.369999,36.369999,35.169998,35.900002,35.801914,78400
2021/7/21,36.259998,36.639999,35.849998,35.950001,35.851776,87100
2021/7/22,35.84,35.84,35.360001,35.5,35.403008,29600
2021/7/23,35.73,35.939999,35.240002,35.84,35.742077,36700
2021/7/26,36.049999,36.580002,36.049999,36.540001,36.440166,102600
2021/7/27,36.25,36.540001,35.889999,36.5,36.400272,46400
2021/7/28,36.919998,37.18,35.18,36.25,36.150959,121900
2021/7/29,36.700001,37.860001,36.509998,37.150002,37.0485,116700
2021/7/30,36.869999,37.5,36.830002,37.18,37.078415,87700
2021/8/2,37.490002,37.689999,36.630001,36.73,36.629646,63000
2021/8/3,36.860001,37.209999,36.389999,36.990002,36.888935,88500
2021/8/4,36.880001,37.310001,36.650002,36.93,36.829098,64100
2021/8/5,37.060001,37.200001,36.580002,36.599998,36.5,55400
2021/8/6,36.77,37.330002,36.73,37.009998,37.009998,69100
2021/8/9,37.040001,37.470001,36.759998,37.259998,37.259998,54100
2021/8/10,37.27,37.990002,37.27,37.919998,37.919998,76000
2021/8/11,38.049999,38.759998,37.810001,38.700001,38.700001,66700
2021/8/12,38.91,39.880001,38.860001,39.48,39.48,262500
2021/8/13,39.450001,39.919998,38.669998,38.869999,38.869999,108100
2021/8/16,38.830002,40.02,38.830002,39.48,39.48,106100
2021/8/17,39.400002,39.68,38.75,38.939999,38.939999,118200
2021/8/18,38.860001,40.830002,38.709999,39.470001,39.470001,125600
2021/8/19,39.369999,39.59,39.09,39.299999,39.299999,102200
2021/8/20,39.27,40.169998,39.080002,40.110001,40.110001,181300
2021/8/23,40.259998,41.709999,40.200001,41.330002,41.330002,115000
2021/8/24,41.299999,42.580002,41.299999,42.369999,42.369999,152900
2021/8/25,42.529999,44.119999,42.529999,43.540001,43.540001,167400
2021/8/26,43.540001,45.59,43.540001,44.779999,44.779999,261500
2021/8/27,44.84,45.889999,44.84,45.400002,45.400002,208600
2021/8/30,45.669998,45.830002,45.099998,45.290001,45.290001,230000
2021/8/31,45.200001,46.5,44.889999,46.23,46.23,179500
2021/9/1,46.169998,47.68,45.939999,47.200001,47.200001,211500
2021/9/2,47.639999,48.610001,47.580002,48.18,48.18,206100
2021/9/3,48.450001,48.52,47.5,48.23,48.23,139700
2021/9/7,48.029999,48.080002,46.290001,46.709999,46.709999,136700
2021/9/8,46.470001,47.139999,46.400002,46.610001,46.610001,126500
2021/9/9,46.639999,47.84,46.299999,46.299999,46.299999,174400
2021/9/10,46.369999,46.439999,45.77,46.099998,46.099998,109500
2021/9/13,46.099998,46.23,45.299999,45.580002,45.580002,148000
2021/9/14,45.5,45.470001,45.040001,45.349998,45.349998,26010
